rtcode,yr,cmdcode,export
32,2020,40,161910003
31,2020,41,8333148
32,2020,41,287185414
31,2020,42,66932
32,2020,42,13296085
32,2020,43,4291416
31,2020,44,762358
32,2020,44,206840523
32,2020,45,202963
31,2020,46,38
32,2020,46,1062
31,2020,47,100
31,2020,48,2311330
32,2020,48,192999283
31,2020,49,2124474
32,2020,49,21560427
31,2020,50,1100382
31,2020,51,5586
32,2020,51,97216659
31,2020,52,156842456
32,2020,52,117756880
31,2020,54,836367
32,2020,54,14161456
31,2020,55,682334
32,2020,55,5687997
31,2020,56,65392
32,2020,56,39144561
31,2020,57,379632
32,2020,57,1094006
31,2020,58,422143
32,2020,58,1496819
31,2020,59,91616
32,2020,59,3630649
31,2020,60,16480
32,2020,60,352700
31,2020,61,544463
32,2020,61,10595141
31,2020,62,876259
32,2020,62,8355238
31,2020,63,20260494
32,2020,63,4879911
31,2020,64,862365
32,2020,64,4282793
31,2020,65,12361
32,2020,65,760341
31,2020,66,462
32,2020,66,6937
31,2020,67,1521
32,2020,67,7846
31,2020,68,1776335
32,2020,68,39517550
31,2020,69,179267
32,2020,69,18170022
31,2020,70,888280
32,2020,70,48475437
31,2020,71,198569992
32,2020,71,1873689634
31,2020,72,29660722
32,2020,72,241342339
31,2020,73,22691371
32,2020,73,360582616
31,2020,74,28181089
32,2020,74,2403625
31,2020,75,21192
32,2020,75,26835
31,2020,76,113432781
32,2020,76,498282553
31,2020,78,10224906
32,2020,78,6156261
31,2020,79,500651
32,2020,79,1304604
31,2020,81,5421
32,2020,81,246667
31,2020,82,3447655
32,2020,82,19292236
31,2020,83,368003
32,2020,83,20711051
31,2020,84,49752490
32,2020,84,922036711
31,2020,85,17423628
31,2020,86,2283204
31,2020,87,1662959
31,2020,89,423367
31,2020,90,8864901
31,2020,91,167999
31,2020,92,54365
31,2020,94,3429332
31,2020,95,92466
24,2020,96,4438454
31,2020,96,97718
24,2020,97,166954
31,2020,97,115297
31,2020,99,2530238
36,2020,1,1342439314
36,2020,2,10052610384
36,2020,3,823205189
36,2020,4,1768483123
36,2020,5,237664690
36,2020,6,9008744
36,2020,7,1071618577
36,2020,8,1624381849
36,2020,9,47087736
36,2020,10,3723308264
36,2020,11,627643239
36,2020,12,1386286738
36,2020,13,22757753
36,2020,14,267921
36,2020,15,450601250
36,2020,16,119595293
36,2020,17,151790416
36,2020,18,234682853
36,2020,19,1028874688
36,2020,20,125669506
36,2020,21,976495924
36,2020,22,2288946148
36,2020,23,425248407
36,2020,24,26404909
36,2020,25,758519303
36,2020,26,88513215483
36,2020,27,34098064379
36,2020,28,931059854
36,2020,29,501640278
36,2020,30,3408224409
36,2020,31,234551308
36,2020,32,620193654
36,2020,33,855714179
36,2020,34,277116167
36,2020,35,259764324
36,2020,36,25408877
36,2020,37,11031742
36,2020,38,402169997
36,2020,39,635026510
36,2020,40,193954830
36,2020,41,354758053
36,2020,42,95416258
36,2020,43,6895791
