rtcode,yr,cmdcode,import
32,2020,38,1260813476
31,2020,39,346015127
32,2020,39,2108605587
31,2020,40,117528156
32,2020,40,741384658
31,2020,41,429420
32,2020,41,11837501
31,2020,42,16785526
32,2020,42,70101871
31,2020,43,500011
32,2020,43,929068
31,2020,44,258225562
32,2020,44,81375006
31,2020,45,719614
32,2020,45,37537293
31,2020,46,223593
32,2020,46,2037842
31,2020,47,207006
32,2020,47,150156427
31,2020,48,166484632
32,2020,48,682330377
31,2020,49,28847970
32,2020,49,49673445
31,2020,50,42937
32,2020,50,198463
31,2020,51,888461
32,2020,51,1433401
31,2020,52,6288854
32,2020,52,56267079
31,2020,53,3592344
32,2020,53,6206308
31,2020,54,33282350
32,2020,54,153458991
31,2020,55,12355060
32,2020,55,184097528
31,2020,56,29428297
32,2020,56,93208980
31,2020,57,15268734
32,2020,57,13762961
31,2020,58,7494703
32,2020,58,15781187
31,2020,59,8765731
32,2020,59,62706931
31,2020,60,20762649
32,2020,60,109464869
31,2020,61,114504710
32,2020,61,112405812
31,2020,62,91815772
32,2020,62,121288231
31,2020,63,57369227
31,2020,64,68700432
31,2020,65,3641226
31,2020,66,565660
31,2020,67,1088801
31,2020,68,50153301
31,2020,69,86233270
31,2020,70,69563441
31,2020,71,13216501
31,2020,72,374186824
31,2020,73,571878743
31,2020,74,24154064
31,2020,75,2820449
31,2020,76,92790072
31,2020,78,242058
31,2020,79,1241524
31,2020,80,362797
31,2020,81,824776
31,2020,82,43151280
31,2020,83,53622726
31,2020,84,1567478358
31,2020,85,969194676
24,2020,86,181731672
31,2020,86,141440562
24,2020,87,547840094
31,2020,87,810310637
24,2020,88,137016144
24,2020,89,33381798
31,2020,89,76760132
24,2020,90,239133395
31,2020,90,228276968
24,2020,91,2707844
31,2020,91,10458585
24,2020,92,617524
31,2020,92,1375536
24,2020,93,27952388
24,2020,94,109305462
31,2020,94,143888686
24,2020,95,10871303
31,2020,95,31993810
24,2020,96,16237924
31,2020,96,68407157
24,2020,97,765820
31,2020,97,614868
31,2020,99,524413541
36,2020,1,120534669
36,2020,2,567117439
36,2020,3,736965711
36,2020,4,1109642836
36,2020,5,77683927
36,2020,6,104420668
36,2020,7,287845256
36,2020,8,923153602
36,2020,9,698607933
36,2020,10,422551539
36,2020,11,164984785
36,2020,12,333029406
36,2020,13,119207850
36,2020,14,13309661
36,2020,15,599710008
36,2020,16,699823576
36,2020,17,309794099
36,2020,18,699300419
36,2020,19,1666673338
36,2020,20,1065010239
36,2020,21,2321033927
36,2020,22,1951333173
36,2020,23,1030429275
36,2020,24,627581594
36,2020,25,513784440
36,2020,26,578308112
36,2020,27,17231087384
36,2020,28,774938537
36,2020,29,2407085762
36,2020,30,9073174988
36,2020,31,1686078980
36,2020,32,773821541
36,2020,33,1985252316
36,2020,34,1019406167
36,2020,35,305915665
36,2020,36,157636577
36,2020,37,69323697
36,2020,38,2518687066
36,2020,39,5797300449
36,2020,40,3319405424
36,2020,41,34521748
36,2020,42,1218438180
36,2020,43,23728171
36,2020,44,1622184544
36,2020,45,26804143
36,2020,46,44200549
36,2020,47,188578684
36,2020,48,2019700387
36,2020,49,635935095
36,2020,50,3639741
36,2020,51,41512466
36,2020,52,69184341
36,2020,53,23642634
36,2020,54,243689777
36,2020,55,101239221
36,2020,56,266779158
36,2020,57,390187142
36,2020,58,40830008
36,2020,59,212915578
36,2020,60,77808886
36,2020,61,3102345478
36,2020,62,3491485717
32,2020,63,187635536
36,2020,63,2876386938
32,2020,64,277830395
36,2020,64,1500350392
32,2020,65,16853598
36,2020,65,213588304
32,2020,66,4309762
36,2020,66,34137479
32,2020,67,3795692
36,2020,67,82161836
32,2020,68,114189083
36,2020,68,802516324
32,2020,69,107505066
36,2020,69,800462415
32,2020,70,174992010
36,2020,70,754046794
32,2020,71,108220041
36,2020,71,8727431427
32,2020,72,649349294
36,2020,72,787144178
32,2020,73,611258507
36,2020,73,4509187790
32,2020,74,240015332
36,2020,74,718751362
32,2020,75,18338516
36,2020,75,57032207
32,2020,76,303695943
36,2020,76,1894405713
32,2020,78,2190074
36,2020,78,10307514
32,2020,79,71470603
36,2020,79,60343494
32,2020,80,21136281
36,2020,80,10355210
32,2020,81,18426554
36,2020,81,69130778
32,2020,82,189158102
36,2020,82,938470014
32,2020,83,222915271
36,2020,83,920820988
32,2020,84,6375092949
36,2020,84,31644239124
32,2020,85,4769813303
36,2020,85,24642170757
32,2020,86,25738811
36,2020,86,856158313
32,2020,87,4613819065
36,2020,87,24813785501
32,2020,88,83630541
36,2020,88,2478319849
32,2020,89,91904363
36,2020,89,486615044
32,2020,90,1182940314
36,2020,90,8334238447
32,2020,91,32601709
36,2020,91,470655806
32,2020,92,16774087
36,2020,92,170448515
32,2020,93,10766629
36,2020,93,257754475
32,2020,94,311292128
36,2020,94,5043008590
32,2020,95,188967256
36,2020,95,2821876312
32,2020,96,159868318
36,2020,96,907288287
32,2020,97,428052
36,2020,97,111077733
32,2020,99,453430646
36,2020,99,4427933214
40,2020,1,239773651
40,2020,2,958641569
40,2020,3,326341107
40,2020,4,1054679574
40,2020,5,113018394
40,2020,6,409361452
40,2020,7,684541833
40,2020,8,1402514999
40,2020,9,544146170
40,2020,10,606641928
40,2020,11,141881668
40,2020,12,623896129
40,2020,13,93315183
40,2020,14,5323157
40,2020,15,590101725
40,2020,16,504619610
40,2020,17,369625038
40,2020,18,607513255
